dataset,undersample,as_cv_step,fs_method,incl_filtered,estimator,feat_range,src,st,kappa,roc_auc
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_1,test,0.1637010676156584,0.5409090909090909
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,diff,-0.2753031958779616,-0.1434974747474748
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,mean,0.43900426349362,0.6844065656565658
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,ncv_diff,0.003820697774186,-0.0127609427609426
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,ncv_val,0.4651162790697674,0.6590909090909092
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,std,0.2081513304703048,0.0999252228134668
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_2,test,0.1637010676156584,0.5409090909090909
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,diff,-0.1916652166646737,-0.1129040404040404
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,mean,0.4389961775187663,0.6619949494949495
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,ncv_diff,-0.1993385303197364,-0.1754826038159371
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,ncv_val,0.28125,0.5643939393939394
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,std,0.1880367803188782,0.124392398908591
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_3,test,0.2473309608540925,0.5490909090909091
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,diff,-0.1916652166646737,-0.1129040404040404
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,mean,0.4389961775187663,0.6619949494949495
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,ncv_diff,0.3913150242237694,0.2361503928170594
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,ncv_val,0.7376425855513308,0.8712121212121211
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,std,0.1880367803188782,0.124392398908591
abus,False,False,boruta_lightgbm,False,knn,3-15-1,ncv_4,test,0.2473309608540925,0.5490909090909091
abus,False,False,boruta_lightgbm,False,lr,3-15-1,flat,diff,-0.1874792340448005,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,flat,mean,0.390869064553275,0.7575757575757576
abus,False,False,boruta_lightgbm,False,lr,3-15-1,flat,std,0.1587418680475687,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,flat,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,diff,-0.1874792340448005,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,mean,0.390869064553275,0.7575757575757576
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,ncv_diff,-0.0992309337085549,-0.0114814814814814
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,ncv_val,0.3333333333333333,0.75
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,std,0.1587418680475687,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_0,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,diff,-0.1705714810000068,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,mean,0.3739613115084813,0.7575757575757576
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,ncv_diff,0.0098532557389569,-0.021111111111111
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,ncv_val,0.3924528301886792,0.75
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,std,0.1928958098634665,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_1,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,diff,-0.1874792340448005,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,mean,0.390869064553275,0.7575757575757576
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,ncv_diff,0.1556564920073571,0.0203030303030302
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,ncv_val,0.555984555984556,0.7803030303030303
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,std,0.1587418680475687,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_2,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,diff,-0.1874792340448005,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,mean,0.390869064553275,0.7575757575757576
